date,vehicle_type,manufacturer,registrations
2020-01-07,2W,Bajaj,7633
2020-01-07,2W,Royal Enfield,3809
2020-01-07,2W,Yamaha,5261
2020-01-07,2W,Suzuki,3213
2020-01-07,2W,Ola Electric,7871
2020-01-07,2W,Ather,5376
2020-01-07,3W,Bajaj,399
2020-01-07,3W,Piaggio,253
2020-01-07,3W,Mahindra,430
2020-01-07,3W,TVS,360
2020-01-07,3W,Atul,408
2020-01-07,3W,Kinetic,488
2020-01-07,4W,Maruti Suzuki,1673
2020-01-07,4W,Hyundai,666
2020-01-07,4W,Tata Motors,1446
2020-01-07,4W,Mahindra,1331
2020-01-07,4W,Kia,767
2020-01-07,4W,Toyota,658
2020-01-07,4W,Honda,772
2020-01-07,4W,MG,582
2020-01-07,4W,Skoda,1445
2020-01-07,4W,Volkswagen,511
2020-01-08,2W,Hero,5469
2020-01-08,2W,Honda,8082
2020-01-08,2W,TVS,4279
2020-01-08,2W,Bajaj,5187
2020-01-08,2W,Royal Enfield,6283
2020-01-08,2W,Yamaha,4137
2020-01-08,2W,Suzuki,6203
2020-01-08,2W,Ola Electric,4230
2020-01-08,2W,Ather,6534
2020-01-08,3W,Bajaj,724
2020-01-08,3W,Piaggio,417
2020-01-08,3W,Mahindra,463
2020-01-08,3W,TVS,420
2020-01-08,3W,Atul,422
2020-01-08,3W,Kinetic,568
2020-01-08,4W,Maruti Suzuki,571
2020-01-08,4W,Hyundai,679
2020-01-08,4W,Tata Motors,1574
2020-01-08,4W,Mahindra,893
2020-01-08,4W,Kia,1089
2020-01-08,4W,Toyota,1738
2020-01-08,4W,Honda,547
2020-01-08,4W,MG,1308
2020-01-08,4W,Skoda,1046
2020-01-08,4W,Volkswagen,1319
2020-01-09,2W,Hero,6079
2020-01-09,2W,Honda,7168
2020-01-09,2W,TVS,6480
2020-01-09,2W,Bajaj,6680
2020-01-09,2W,Royal Enfield,4362
2020-01-09,2W,Yamaha,6288
2020-01-09,2W,Suzuki,2697
2020-01-09,2W,Ola Electric,9501
2020-01-09,2W,Ather,6276
2020-01-09,3W,Bajaj,518
2020-01-09,3W,Piaggio,661
2020-01-09,3W,Mahindra,313
2020-01-09,3W,TVS,854
2020-01-09,3W,Atul,495
2020-01-09,3W,Kinetic,706
2020-01-09,4W,Maruti Suzuki,1371
2020-01-09,4W,Hyundai,1316
2020-01-09,4W,Tata Motors,640
2020-01-09,4W,Mahindra,1258
2020-01-09,4W,Kia,904
2020-01-09,4W,Toyota,1334
2020-01-09,4W,Honda,894
2020-01-09,4W,MG,1196
2020-01-09,4W,Skoda,885
2020-01-09,4W,Volkswagen,1623
2020-01-10,2W,Hero,3303
2020-01-10,2W,Honda,5866
2020-01-10,2W,TVS,4384
2020-01-10,2W,Bajaj,4365
2020-01-10,2W,Royal Enfield,5725
2020-01-10,2W,Yamaha,3601
2020-01-10,2W,Suzuki,3319
2020-01-10,2W,Ola Electric,6164
2020-01-10,2W,Ather,3811
2020-01-10,3W,Bajaj,493
2020-01-10,3W,Piaggio,462
2020-01-10,3W,Mahindra,347
2020-01-10,3W,TVS,445
2020-01-10,3W,Atul,280
2020-01-10,3W,Kinetic,544
2020-01-10,4W,Maruti Suzuki,1131
2020-01-10,4W,Hyundai,1713
2020-01-10,4W,Tata Motors,864
2020-01-10,4W,Mahindra,1031
2020-01-10,4W,Kia,1458
2020-01-10,4W,Toyota,833
2020-01-10,4W,Honda,1263
2020-01-10,4W,MG,1254
2020-01-10,4W,Skoda,586
2020-01-10,4W,Volkswagen,1070
2020-01-11,2W,Hero,3107
2020-01-11,2W,Honda,3439
2020-01-11,2W,TVS,4478
2020-01-11,2W,Bajaj,1959
2020-01-11,2W,Royal Enfield,4125
2020-01-11,2W,Yamaha,3225
2020-01-11,2W,Suzuki,2811
2020-01-11,2W,Ola Electric,2874
2020-01-11,2W,Ather,3580
2020-01-11,3W,Bajaj,474
2020-01-11,3W,Piaggio,199
2020-01-11,3W,Mahindra,387
2020-01-11,3W,TVS,379
2020-01-11,3W,Atul,221
2020-01-11,3W,Kinetic,385
2020-01-11,4W,Maruti Suzuki,566
2020-01-11,4W,Hyundai,575
2020-01-11,4W,Tata Motors,595
2020-01-11,4W,Mahindra,442
2020-01-11,4W,Kia,449
2020-01-11,4W,Toyota,603
2020-01-11,4W,Honda,868
2020-01-11,4W,MG,513
2020-01-11,4W,Skoda,679
2020-01-11,4W,Volkswagen,1133
2020-01-12,2W,Hero,3530
2020-01-12,2W,Honda,2614
2020-01-12,2W,TVS,3001
2020-01-12,2W,Bajaj,3544
2020-01-12,2W,Royal Enfield,2373
2020-01-12,2W,Yamaha,2304
2020-01-12,2W,Suzuki,1975
2020-01-12,2W,Ola Electric,4204
2020-01-12,2W,Ather,5132
2020-01-12,3W,Bajaj,400
2020-01-12,3W,Piaggio,185
2020-01-12,3W,Mahindra,193
2020-01-12,3W,TVS,272
2020-01-12,3W,Atul,552
2020-01-12,3W,Kinetic,398
2020-01-12,4W,Maruti Suzuki,957
2020-01-12,4W,Hyundai,969
2020-01-12,4W,Tata Motors,1002
2020-01-12,4W,Mahindra,667
2020-01-12,4W,Kia,433
2020-01-12,4W,Toyota,402
2020-01-12,4W,Honda,1093
2020-01-12,4W,MG,485
2020-01-12,4W,Skoda,496
2020-01-12,4W,Volkswagen,418
2020-01-13,2W,Hero,2823
2020-01-13,2W,Honda,5212
2020-01-13,2W,TVS,3240
2020-01-13,2W,Bajaj,7561
2020-01-13,2W,Royal Enfield,3048
2020-01-13,2W,Yamaha,6510
2020-01-13,2W,Suzuki,3001
2020-01-13,2W,Ola Electric,4258
2020-01-13,2W,Ather,6423
2020-01-13,3W,Bajaj,312
2020-01-13,3W,Piaggio,417
2020-01-13,3W,Mahindra,612
2020-01-13,3W,TVS,486
2020-01-13,3W,Atul,763
2020-01-13,3W,Kinetic,424
2020-01-13,4W,Maruti Suzuki,1102
2020-01-13,4W,Hyundai,1142
2020-01-13,4W,Tata Motors,1284
2020-01-13,4W,Mahindra,1624
2020-01-13,4W,Kia,923
2020-01-13,4W,Toyota,932
2020-01-13,4W,Honda,1824
2020-01-13,4W,MG,722
2020-01-13,4W,Skoda,692
2020-01-13,4W,Volkswagen,1861
2020-01-14,2W,Hero,2955
2020-01-14,2W,Honda,3572
2020-01-14,2W,TVS,6476
2020-01-14,2W,Bajaj,6149
2020-01-14,2W,Royal Enfield,4359
2020-01-14,2W,Yamaha,3346
2020-01-14,2W,Suzuki,3824
2020-01-14,2W,Ola Electric,9681
2020-01-14,2W,Ather,4298
2020-01-14,3W,Bajaj,620
2020-01-14,3W,Piaggio,615
2020-01-14,3W,Mahindra,753
2020-01-14,3W,TVS,816
2020-01-14,3W,Atul,523
2020-01-14,3W,Kinetic,588
2020-01-14,4W,Maruti Suzuki,527
2020-01-14,4W,Hyundai,896
2020-01-14,4W,Tata Motors,1315
2020-01-14,4W,Mahindra,819
2020-01-14,4W,Kia,1615
2020-01-14,4W,Toyota,678
2020-01-14,4W,Honda,1856
2020-01-14,4W,MG,1148
2020-01-14,4W,Skoda,943
2020-01-14,4W,Volkswagen,1424
2020-01-15,2W,Hero,3600
2020-01-15,2W,Honda,3961
2020-01-15,2W,TVS,8072
2020-01-15,2W,Bajaj,5489
2020-01-15,2W,Royal Enfield,4317
2020-01-15,2W,Yamaha,5295
2020-01-15,2W,Suzuki,7217
2020-01-15,2W,Ola Electric,5776
2020-01-15,2W,Ather,6548
2020-01-15,3W,Bajaj,451
2020-01-15,3W,Piaggio,687
2020-01-15,3W,Mahindra,436
2020-01-15,3W,TVS,669
2020-01-15,3W,Atul,467
2020-01-15,3W,Kinetic,360
2020-01-15,4W,Maruti Suzuki,910
2020-01-15,4W,Hyundai,500
2020-01-15,4W,Tata Motors,1777
2020-01-15,4W,Mahindra,856
2020-01-15,4W,Kia,599
2020-01-15,4W,Toyota,1274
2020-01-15,4W,Honda,1673
2020-01-15,4W,MG,1702
2020-01-15,4W,Skoda,1450
2020-01-15,4W,Volkswagen,1821
2020-01-16,2W,Hero,5111
2020-01-16,2W,Honda,7782
2020-01-16,2W,TVS,3390
2020-01-16,2W,Bajaj,5892
2020-01-16,2W,Royal Enfield,7267
2020-01-16,2W,Yamaha,4266
2020-01-16,2W,Suzuki,3025
2020-01-16,2W,Ola Electric,6609
2020-01-16,2W,Ather,7794
2020-01-16,3W,Bajaj,390
2020-01-16,3W,Piaggio,472
2020-01-16,3W,Mahindra,386
2020-01-16,3W,TVS,679
2020-01-16,3W,Atul,384
2020-01-16,3W,Kinetic,279
2020-01-16,4W,Maruti Suzuki,610
2020-01-16,4W,Hyundai,591
2020-01-16,4W,Tata Motors,1828
2020-01-16,4W,Mahindra,2160
2020-01-16,4W,Kia,1182
2020-01-16,4W,Toyota,1536
2020-01-16,4W,Honda,1533
2020-01-16,4W,MG,1735
2020-01-16,4W,Skoda,720
2020-01-16,4W,Volkswagen,1483
2020-01-17,2W,Hero,6123
2020-01-17,2W,Honda,7696
2020-01-17,2W,TVS,5474
2020-01-17,2W,Bajaj,7109
2020-01-17,2W,Royal Enfield,2511
2020-01-17,2W,Yamaha,7083
2020-01-17,2W,Suzuki,4943
2020-01-17,2W,Ola Electric,4497
2020-01-17,2W,Ather,5724
2020-01-17,3W,Bajaj,613
2020-01-17,3W,Piaggio,784
2020-01-17,3W,Mahindra,372
2020-01-17,3W,TVS,652
2020-01-17,3W,Atul,572
2020-01-17,3W,Kinetic,844
2020-01-17,4W,Maruti Suzuki,1602
2020-01-17,4W,Hyundai,1283
2020-01-17,4W,Tata Motors,673
2020-01-17,4W,Mahindra,1394
2020-01-17,4W,Kia,1368
2020-01-17,4W,Toyota,902
2020-01-17,4W,Honda,1210
2020-01-17,4W,MG,648
2020-01-17,4W,Skoda,1033
2020-01-17,4W,Volkswagen,1015
2020-01-18,2W,Hero,4183
2020-01-18,2W,Honda,3639
2020-01-18,2W,TVS,4612
2020-01-18,2W,Bajaj,3514
2020-01-18,2W,Royal Enfield,3860
2020-01-18,2W,Yamaha,4109
2020-01-18,2W,Suzuki,3395
2020-01-18,2W,Ola Electric,2360
2020-01-18,2W,Ather,1703
2020-01-18,3W,Bajaj,473
2020-01-18,3W,Piaggio,232
2020-01-18,3W,Mahindra,246
2020-01-18,3W,TVS,409
2020-01-18,3W,Atul,296
2020-01-18,3W,Kinetic,425
2020-01-18,4W,Maruti Suzuki,703
2020-01-18,4W,Hyundai,372
2020-01-18,4W,Tata Motors,665
2020-01-18,4W,Mahindra,774
2020-01-18,4W,Kia,406
2020-01-18,4W,Toyota,967
2020-01-18,4W,Honda,421
2020-01-18,4W,MG,610
2020-01-18,4W,Skoda,796
2020-01-18,4W,Volkswagen,782
2020-01-19,2W,Hero,3339
2020-01-19,2W,Honda,4053
2020-01-19,2W,TVS,3697
2020-01-19,2W,Bajaj,1974
2020-01-19,2W,Royal Enfield,2454
2020-01-19,2W,Yamaha,2085
2020-01-19,2W,Suzuki,3389
2020-01-19,2W,Ola Electric,4309
2020-01-19,2W,Ather,3335
2020-01-19,3W,Bajaj,471
2020-01-19,3W,Piaggio,226
2020-01-19,3W,Mahindra,358
2020-01-19,3W,TVS,394
2020-01-19,3W,Atul,420
2020-01-19,3W,Kinetic,274
2020-01-19,4W,Maruti Suzuki,659
2020-01-19,4W,Hyundai,706
2020-01-19,4W,Tata Motors,691
2020-01-19,4W,Mahindra,710
2020-01-19,4W,Kia,423
2020-01-19,4W,Toyota,421
2020-01-19,4W,Honda,477
2020-01-19,4W,MG,683
2020-01-19,4W,Skoda,631
2020-01-19,4W,Volkswagen,813
2020-01-20,2W,Hero,7982
2020-01-20,2W,Honda,5886
2020-01-20,2W,TVS,6493
2020-01-20,2W,Bajaj,6810
2020-01-20,2W,Royal Enfield,8651
2020-01-20,2W,Yamaha,5968
2020-01-20,2W,Suzuki,4041
2020-01-20,2W,Ola Electric,6576
2020-01-20,2W,Ather,9478
2020-01-20,3W,Bajaj,321
2020-01-20,3W,Piaggio,481
2020-01-20,3W,Mahindra,388
2020-01-20,3W,TVS,603
2020-01-20,3W,Atul,830
2020-01-20,3W,Kinetic,799
2020-01-20,4W,Maruti Suzuki,1044
2020-01-20,4W,Hyundai,776
2020-01-20,4W,Tata Motors,1036
2020-01-20,4W,Mahindra,692
2020-01-20,4W,Kia,1228
2020-01-20,4W,Toyota,945
2020-01-20,4W,Honda,879
2020-01-20,4W,MG,642
2020-01-20,4W,Skoda,2061
2020-01-20,4W,Volkswagen,927
2020-01-21,2W,Hero,8394
2020-01-21,2W,Honda,3700
2020-01-21,2W,TVS,9859
2020-01-21,2W,Bajaj,6920
2020-01-21,2W,Royal Enfield,5110
2020-01-21,2W,Yamaha,6516
2020-01-21,2W,Suzuki,7187
2020-01-21,2W,Ola Electric,4472
2020-01-21,2W,Ather,8570
2020-01-21,3W,Bajaj,748
2020-01-21,3W,Piaggio,472
2020-01-21,3W,Mahindra,393
2020-01-21,3W,TVS,908
2020-01-21,3W,Atul,548
2020-01-21,3W,Kinetic,768
2020-01-21,4W,Maruti Suzuki,1401
2020-01-21,4W,Hyundai,1253
2020-01-21,4W,Tata Motors,1095
2020-01-21,4W,Mahindra,1119
2020-01-21,4W,Kia,1687
2020-01-21,4W,Toyota,562
2020-01-21,4W,Honda,965
2020-01-21,4W,MG,1319
2020-01-21,4W,Skoda,1376
2020-01-21,4W,Volkswagen,997
2020-01-22,2W,Hero,8458
2020-01-22,2W,Honda,9054
2020-01-22,2W,TVS,6557
2020-01-22,2W,Bajaj,5980
2020-01-22,2W,Royal Enfield,5746
2020-01-22,2W,Yamaha,3671
2020-01-22,2W,Suzuki,5045
2020-01-22,2W,Ola Electric,6750
2020-01-22,2W,Ather,18885
2020-01-22,3W,Bajaj,422
2020-01-22,3W,Piaggio,416
2020-01-22,3W,Mahindra,366
2020-01-22,3W,TVS,443
2020-01-22,3W,Atul,453
2020-01-22,3W,Kinetic,690
2020-01-22,4W,Maruti Suzuki,751
2020-01-22,4W,Hyundai,849
2020-01-22,4W,Tata Motors,1010
2020-01-22,4W,Mahindra,905
2020-01-22,4W,Kia,613
2020-01-22,4W,Toyota,1407
2020-01-22,4W,Honda,1369
2020-01-22,4W,MG,1190
2020-01-22,4W,Skoda,1885
2020-01-22,4W,Volkswagen,1383
2020-01-23,2W,Hero,5178
2020-01-23,2W,Honda,5163
2020-01-23,2W,TVS,9606
2020-01-23,2W,Bajaj,7366
2020-01-23,2W,Royal Enfield,6922
2020-01-23,2W,Yamaha,3953
2020-01-23,2W,Suzuki,2734
2020-01-23,2W,Ola Electric,6422
2020-01-23,2W,Ather,8091
2020-01-23,3W,Bajaj,790
2020-01-23,3W,Piaggio,1005
2020-01-23,3W,Mahindra,409
2020-01-23,3W,TVS,761
2020-01-23,3W,Atul,565
2020-01-23,3W,Kinetic,755
2020-01-23,4W,Maruti Suzuki,596
2020-01-23,4W,Hyundai,748
2020-01-23,4W,Tata Motors,1750
2020-01-23,4W,Mahindra,1169
2020-01-23,4W,Kia,1585
2020-01-23,4W,Toyota,1848
2020-01-23,4W,Honda,2797
2020-01-23,4W,MG,951
2020-01-23,4W,Skoda,719
2020-01-23,4W,Volkswagen,554
2020-01-24,2W,Hero,7884
2020-01-24,2W,Honda,6963
2020-01-24,2W,TVS,5773
2020-01-24,2W,Bajaj,6912
2020-01-24,2W,Royal Enfield,9144
2020-01-24,2W,Yamaha,2923
2020-01-24,2W,Suzuki,7450
2020-01-24,2W,Ola Electric,10571
2020-01-24,2W,Ather,7100
2020-01-24,3W,Bajaj,678
2020-01-24,3W,Piaggio,483
2020-01-24,3W,Mahindra,690
2020-01-24,3W,TVS,672
2020-01-24,3W,Atul,394
2020-01-24,3W,Kinetic,493
2020-01-24,4W,Maruti Suzuki,746
2020-01-24,4W,Hyundai,732
2020-01-24,4W,Tata Motors,1300
2020-01-24,4W,Mahindra,816
2020-01-24,4W,Kia,1523
2020-01-24,4W,Toyota,598
2020-01-24,4W,Honda,1252
2020-01-24,4W,MG,1160
2020-01-24,4W,Skoda,1361
2020-01-24,4W,Volkswagen,1521
2020-01-25,2W,Hero,4539
2020-01-25,2W,Honda,2538
2020-01-25,2W,TVS,3865
2020-01-25,2W,Bajaj,5144
2020-01-25,2W,Royal Enfield,2135
2020-01-25,2W,Yamaha,4271
2020-01-25,2W,Suzuki,5147
2020-01-25,2W,Ola Electric,2805
2020-01-25,2W,Ather,3435
2020-01-25,3W,Bajaj,246
2020-01-25,3W,Piaggio,253
2020-01-25,3W,Mahindra,218
2020-01-25,3W,TVS,173
2020-01-25,3W,Atul,485
2020-01-25,3W,Kinetic,268
2020-01-25,4W,Maruti Suzuki,360
2020-01-25,4W,Hyundai,860
2020-01-25,4W,Tata Motors,390
2020-01-25,4W,Mahindra,767
2020-01-25,4W,Kia,675
2020-01-25,4W,Toyota,732
2020-01-25,4W,Honda,614
2020-01-25,4W,MG,377
2020-01-25,4W,Skoda,715
2020-01-25,4W,Volkswagen,830
2020-01-26,2W,Hero,6439
2020-01-26,2W,Honda,2850
2020-01-26,2W,TVS,6321
2020-01-26,2W,Bajaj,2828
2020-01-26,2W,Royal Enfield,1752
2020-01-26,2W,Yamaha,3354
2020-01-26,2W,Suzuki,4813
2020-01-26,2W,Ola Electric,4316
2020-01-26,2W,Ather,3626
2020-01-26,3W,Bajaj,448
2020-01-26,3W,Piaggio,450
2020-01-26,3W,Mahindra,607
2020-01-26,3W,TVS,363
2020-01-26,3W,Atul,360
2020-01-26,3W,Kinetic,232
2020-01-26,4W,Maruti Suzuki,642
2020-01-26,4W,Hyundai,374
2020-01-26,4W,Tata Motors,525
2020-01-26,4W,Mahindra,655
2020-01-26,4W,Kia,1048
2020-01-26,4W,Toyota,945
2020-01-26,4W,Honda,644
2020-01-26,4W,MG,935
2020-01-26,4W,Skoda,653
2020-01-26,4W,Volkswagen,623
2020-01-27,2W,Hero,3769
2020-01-27,2W,Honda,6457
2020-01-27,2W,TVS,3769
2020-01-27,2W,Bajaj,8643
2020-01-27,2W,Royal Enfield,7781
2020-01-27,2W,Yamaha,5561
2020-01-27,2W,Suzuki,5013
2020-01-27,2W,Ola Electric,5918
2020-01-27,2W,Ather,6510
2020-01-27,3W,Bajaj,524
2020-01-27,3W,Piaggio,985
2020-01-27,3W,Mahindra,638
2020-01-27,3W,TVS,274
2020-01-27,3W,Atul,603
2020-01-27,3W,Kinetic,340
2020-01-27,4W,Maruti Suzuki,1288
2020-01-27,4W,Hyundai,1381
2020-01-27,4W,Tata Motors,1094
2020-01-27,4W,Mahindra,1219
2020-01-27,4W,Kia,874
2020-01-27,4W,Toyota,1517
2020-01-27,4W,Honda,1474
2020-01-27,4W,MG,1559
2020-01-27,4W,Skoda,1037
2020-01-27,4W,Volkswagen,930
2020-01-28,2W,Hero,2778
2020-01-28,2W,Honda,6482
2020-01-28,2W,TVS,7340
2020-01-28,2W,Bajaj,5803
2020-01-28,2W,Royal Enfield,8573
2020-01-28,2W,Yamaha,8052
2020-01-28,2W,Suzuki,3712
2020-01-28,2W,Ola Electric,6476
2020-01-28,2W,Ather,5746
2020-01-28,3W,Bajaj,1036
2020-01-28,3W,Piaggio,686
2020-01-28,3W,Mahindra,685
2020-01-28,3W,TVS,576
2020-01-28,3W,Atul,808
2020-01-28,3W,Kinetic,567
2020-01-28,4W,Maruti Suzuki,1089
2020-01-28,4W,Hyundai,1553
2020-01-28,4W,Tata Motors,856
2020-01-28,4W,Mahindra,1756
2020-01-28,4W,Kia,637
2020-01-28,4W,Toyota,751
2020-01-28,4W,Honda,1289
2020-01-28,4W,MG,909
2020-01-28,4W,Skoda,1340
2020-01-28,4W,Volkswagen,941
2020-01-29,2W,Hero,4970
2020-01-29,2W,Honda,2659
2020-01-29,2W,TVS,6829
2020-01-29,2W,Bajaj,4884
2020-01-29,2W,Royal Enfield,4295
2020-01-29,2W,Yamaha,10495
2020-01-29,2W,Suzuki,3408
2020-01-29,2W,Ola Electric,4439
2020-01-29,2W,Ather,2703
2020-01-29,3W,Bajaj,542
2020-01-29,3W,Piaggio,800
2020-01-29,3W,Mahindra,814
2020-01-29,3W,TVS,682
2020-01-29,3W,Atul,805
2020-01-29,3W,Kinetic,521
2020-01-29,4W,Maruti Suzuki,2074
2020-01-29,4W,Hyundai,1964
2020-01-29,4W,Tata Motors,1776
2020-01-29,4W,Mahindra,1639
2020-01-29,4W,Kia,863
2020-01-29,4W,Toyota,767
2020-01-29,4W,Honda,1076
2020-01-29,4W,MG,1248
2020-01-29,4W,Skoda,1942
2020-01-29,4W,Volkswagen,2089
2020-01-30,2W,Hero,5240
2020-01-30,2W,Honda,3665
2020-01-30,2W,TVS,5323
2020-01-30,2W,Bajaj,3795
2020-01-30,2W,Royal Enfield,5576
2020-01-30,2W,Yamaha,5606
2020-01-30,2W,Suzuki,5550
2020-01-30,2W,Ola Electric,6031
2020-01-30,2W,Ather,16280
2020-01-30,3W,Bajaj,733
2020-01-30,3W,Piaggio,416
2020-01-30,3W,Mahindra,511
2020-01-30,3W,TVS,663
2020-01-30,3W,Atul,704
2020-01-30,3W,Kinetic,882
2020-01-30,4W,Maruti Suzuki,1848
2020-01-30,4W,Hyundai,1354
2020-01-30,4W,Tata Motors,1103
2020-01-30,4W,Mahindra,627
2020-01-30,4W,Kia,1250
2020-01-30,4W,Toyota,865
2020-01-30,4W,Honda,1322
2020-01-30,4W,MG,861
2020-01-30,4W,Skoda,1519
2020-01-30,4W,Volkswagen,1042
2020-01-31,2W,Hero,5622
2020-01-31,2W,Honda,3280
2020-01-31,2W,TVS,4680
2020-01-31,2W,Bajaj,3378
2020-01-31,2W,Royal Enfield,9400
2020-01-31,2W,Yamaha,5152
2020-01-31,2W,Suzuki,5623
2020-01-31,2W,Ola Electric,6437
2020-01-31,2W,Ather,3326
2020-01-31,3W,Bajaj,703
2020-01-31,3W,Piaggio,675
2020-01-31,3W,Mahindra,724
2020-01-31,3W,TVS,802
2020-01-31,3W,Atul,400
2020-01-31,3W,Kinetic,303
2020-01-31,4W,Maruti Suzuki,1725
2020-01-31,4W,Hyundai,1275
2020-01-31,4W,Tata Motors,1908
2020-01-31,4W,Mahindra,795
2020-01-31,4W,Kia,1766
2020-01-31,4W,Toyota,1687
2020-01-31,4W,Honda,1311
2020-01-31,4W,MG,1524
